"data_year","offense","age","count","sex","state"
2022,"all","15",362,"male","AL"
2022,"all","16",564,"male","AL"
2022,"all","17",748,"male","AL"
2022,"all","18",1650,"male","AL"
2022,"all","19",1963,"male","AL"
2022,"all","20",2101,"male","AL"
2022,"all","21",2319,"male","AL"
2022,"all","22",2470,"male","AL"
2022,"all","23",2615,"male","AL"
2022,"all","24",2663,"male","AL"
2022,"all","10-12",100,"male","AL"
2022,"all","13-14",420,"male","AL"
2022,"all","25-29",13617,"male","AL"
2022,"all","30-34",14337,"male","AL"
2022,"all","35-39",12517,"male","AL"
2022,"all","40-44",10583,"male","AL"
2022,"all","45-49",6870,"male","AL"
2022,"all","50-54",5429,"male","AL"
2022,"all","55-59",3900,"male","AL"
2022,"all","60-64",2325,"male","AL"
2022,"all","65 and over",1532,"male","AL"
2022,"all","Under 10",11,"male","AL"
